
Term,Definition
CPU,El cerebro de la computadora, como el director de una orquesta.
RAM,La memoria a corto plazo de la computadora, como tu mesa de trabajo.
Disco Duro,Donde la computadora guarda todo, como tu mochila para guardar tus cosas.
Internet,Una red gigante que conecta computadoras, como una telaraña mundial.
Nube,Guardar cosas en internet, como guardar tus juguetes en un armario magico en el cielo.
Virtualizacion,Uso de tecnologias para ejecutar varios sistemas operativos en un solo servidor fisico.
Backup,Copia de seguridad de datos para prevenir perdidas.
Firewall,Dispositivo o software que controla el trafico de red para proteger sistemas.
VPN,Red privada virtual que cifra la conexion a internet.
Antivirus,Software que detecta y elimina virus informaticos.
Endpoint,Dispositivo final como computadora, portatil o movil.
Cifrado,Proceso de convertir datos en un formato seguro e ilegible para proteger la informacion.
MFA,Autenticacion multifactor: requiere mas de un metodo de verificacion para acceder a un sistema.
Phishing,Tecnica de engano para obtener informacion confidencial haciendose pasar por una entidad confiable.
Red,Conjunto de dispositivos conectados para compartir informacion y recursos.
Servidor,Computadora dedicada a gestionar recursos y servicios en una red.
Almacenamiento,Espacio donde se guardan datos y archivos.
Cloud,Servicios y almacenamiento ofrecidos a traves de internet.
Usuario,Persona que utiliza sistemas o servicios informaticos.
Contrasena,Clave secreta para acceder a sistemas o servicios.
Seguridad,Conjunto de medidas para proteger sistemas y datos.
Vulnerabilidad,Debilidad en un sistema que puede ser explotada por atacantes.
Actualizacion,Proceso de instalar nuevas versiones de software para corregir errores o mejorar la seguridad.
Licencia,Permiso legal para usar un software.
Sistema Operativo,Software principal que gestiona el hardware y otros programas de una computadora.
Correo,Servicio para enviar y recibir mensajes electronicos.
Malware,Software malicioso disenado para danar o explotar sistemas.
Spyware,Programa que recopila informacion del usuario sin su consentimiento.
Ransomware,Malware que bloquea el acceso a datos y pide un rescate para liberarlos.
Rootkit,Conjunto de herramientas que ocultan la presencia de malware en un sistema.
Troyano,Malware que se oculta dentro de software legitimo para ejecutar acciones maliciosas.
Gusano,Malware que se replica y propaga automaticamente por la red.
Criptografia,Tecnica para proteger informacion mediante el uso de codigos.
Autenticacion,Proceso de verificar la identidad de un usuario o sistema.
Autorizacion,Permiso para acceder a recursos o realizar acciones en un sistema.
Token,Elemento de seguridad que representa credenciales de acceso.
API,Interfaz de programacion que permite la comunicacion entre aplicaciones.
Base de datos,Sistema para almacenar y gestionar grandes cantidades de informacion estructurada.
SQL,Lenguaje para gestionar bases de datos relacionales.
NoSQL,Tipo de base de datos que no utiliza el modelo relacional tradicional.
Respaldo,Copia de seguridad de datos.
Disaster Recovery,Plan y acciones para recuperar sistemas y datos tras un desastre.
DR,Recuperación de Desastres; conjunto de políticas y procedimientos para restaurar sistemas tras un incidente grave.
DRP,Plan de Recuperación de Desastres; documento que detalla los pasos para restaurar operaciones tras un desastre.
TI,Tecnologías de la Información; conjunto de recursos y sistemas para gestionar información digital.
OT,Tecnología Operacional; sistemas y hardware usados para controlar procesos industriales y de producción.
IT,Tecnología de la Información; sistemas y redes dedicados al procesamiento y gestión de datos.
AWS S3,Servicio de almacenamiento en la nube de Amazon Web Services.
Azure Files,Servicio de almacenamiento de archivos en la nube de Microsoft Azure.
On-Premise,Infraestructura o software instalado y gestionado localmente en la empresa.
Cloud-Native,Aplicaciones o servicios diseñados para ejecutarse en la nube desde su concepción.
Off-site,Ubicación fuera de las instalaciones principales, usada para copias de seguridad o recuperación.
VLAN,Red de área local virtual que segmenta redes físicas para mejorar seguridad y gestión.
MSP,Proveedor de Servicios Gestionados; empresa externa que administra sistemas TI de clientes.
NGFW,Firewall de Nueva Generación; dispositivo avanzado de seguridad de red con inspección profunda de paquetes.
DPI,Inspección Profunda de Paquetes; técnica para analizar el contenido de los datos que circulan por la red.
IPS,Sistema de Prevención de Intrusiones; detecta y bloquea actividades maliciosas en la red.
ZTNA,Acceso a Red de Confianza Cero; modelo de seguridad que verifica cada acceso independientemente de la ubicación.
Zero Trust,Modelo de seguridad que asume que ninguna red es segura y requiere verificación continua.
VPN,Red privada virtual que cifra la conexión a internet.
EDR,Detección y Respuesta en el Endpoint; solución avanzada para identificar y responder a amenazas en dispositivos finales.
MDM,Gestion de Dispositivos Móviles; administración centralizada de smartphones y tablets en la empresa.
UEM,Gestion Unificada de Endpoints; administración centralizada de todos los dispositivos de usuario.
Active Directory,Servicio de directorio de Microsoft para gestionar usuarios y recursos en red.
Azure Active Directory,Servicio de directorio en la nube de Microsoft para autenticación y gestión de identidades.
Entra ID,Nuevo nombre para Azure Active Directory; servicio de identidad en la nube de Microsoft.
2FA,Autenticación de Dos Factores; requiere dos métodos de verificación para acceder a un sistema.
MFA,Autenticación multifactor: requiere más de un método de verificación para acceder a un sistema.
SCADA,Sistema de Control y Adquisición de Datos; controla y monitoriza procesos industriales.
PLC,Controlador Lógico Programable; dispositivo usado para automatizar procesos industriales.
ERP,Sistema de Planificación de Recursos Empresariales; integra y gestiona procesos de negocio.
WMS,Sistema de Gestión de Almacenes; software para controlar y optimizar operaciones logísticas.
QR,Código de Respuesta Rápida; tipo de código de barras bidimensional para almacenar información.
RFID,Identificación por Radiofrecuencia; tecnología para identificar y rastrear objetos mediante ondas de radio.
PAM,Gestion de Accesos con Privilegios; controla y monitoriza cuentas con altos permisos.
DMZ,Zona Desmilitarizada; segmento de red que separa sistemas internos de externos para mayor seguridad.
RGPD,Reglamento General de Protección de Datos; normativa europea sobre privacidad y protección de datos.
